contact substeps 127 from 4.30 to 46.00
lever arm rn crosses ZERO at sweep 24.42 deg (-2.074 -> 0.542)
lever arm rn crosses ZERO at sweep 33.83 deg (1.216 -> -4.199)

sweep | phiA | phiB | u to nearest attacker vertex | u to nearest victim vertex | rn | hf | crossing angle of the chords
  8.60 | 23.90 | 35.05 | 0.563 | 0.986 |  -7.103 | 0.620 | 71.0
  8.94 | 23.73 | 34.93 | 0.498 | 1.037 |  -7.046 | 0.620 | 70.8
  9.27 | 23.57 | 34.80 | 0.432 | 1.087 |  -6.988 | 0.619 | 70.5
  9.60 | 23.41 | 34.68 | 0.366 | 1.139 |  -6.931 | 0.618 | 70.3
  9.93 | 23.25 | 34.55 | 0.300 | 1.190 |  -6.873 | 0.617 | 70.1
 10.26 | 23.08 | 34.42 | 0.234 | 1.242 |  -6.816 | 0.617 | 69.9
 10.59 | 22.02 | 34.01 | 0.192 | 1.408 |  -4.542 | 0.581 | 73.4
 10.92 | 21.88 | 33.92 | 0.250 | 1.443 |  -4.482 | 0.580 | 73.1
 11.25 | 21.73 | 33.84 | 0.310 | 1.475 |  -4.423 | 0.580 | 72.9
 11.58 | 21.58 | 33.76 | 0.371 | 1.507 |  -4.364 | 0.579 | 72.7
 11.91 | 21.43 | 33.68 | 0.431 | 1.483 |  -4.305 | 0.579 | 72.4
 12.24 | 21.28 | 33.60 | 0.492 | 1.451 |  -4.246 | 0.578 | 72.2
 23.17 | 16.02 | 30.73 | 0.413 | 0.294 |  -2.257 | 0.563 | 64.5
 23.50 | 15.86 | 30.64 | 0.345 | 0.257 |  -2.196 | 0.562 | 64.2
 23.83 | 15.69 | 30.54 | 0.277 | 0.219 |  -2.135 | 0.562 | 63.9
 24.16 | 15.52 | 30.45 | 0.208 | 0.181 |  -2.074 | 0.562 | 63.7
 24.49 | 14.40 | 30.00 | 0.243 | 0.000 |   0.542 | 0.554 | 67.3
 24.82 | 14.31 | 30.00 | 0.279 | 0.000 |   0.576 | 0.550 | 67.0
 25.15 | 14.22 | 30.00 | 0.315 | 0.000 |   0.610 | 0.546 | 66.7
 25.48 | 14.13 | 30.00 | 0.351 | 0.000 |   0.643 | 0.543 | 66.4
 25.81 | 14.04 | 30.00 | 0.387 | 0.000 |   0.675 | 0.539 | 66.1
 26.14 | 13.95 | 30.00 | 0.424 | 0.000 |   0.706 | 0.535 | 65.7
 26.47 | 13.86 | 30.00 | 0.460 | 0.000 |   0.737 | 0.532 | 65.6
