# gain-bound.js, arm (0,-1) of the ndpxhts24 seed, foot 1

## unconditional: the distance uncertainty is the box's own blanket pad
```
box +-0.01u, +-0.025 deg, arm (0,-1), foot 1, 138 substeps, rim 67.167
distance uncertainty: the box's blanket pad (no assumption about the set's shape)

first substep with the WHOLE box certainly in contact: 13

  k    deg   |   lambda lo      dirDot lo   |  gain bound   running sum  | note
   13   4.33  |    1.870e-2     0.15115  |    2.782e-3     0.00278  | 
   14   4.67  |    1.883e-2     0.15632  |    2.900e-3     0.00568  | 
   15   5.00  |    1.898e-2     0.16151  |    3.022e-3     0.00870  | 
   16   5.33  |    1.914e-2     0.16670  |    3.147e-3     0.01185  | 
   17   5.67  |    1.929e-2     0.17190  |    3.273e-3     0.01512  | 
   18   6.00  |    1.945e-2     0.17711  |    3.401e-3     0.01853  | 
   19   6.33  |    1.961e-2     0.18233  |    3.532e-3     0.02206  | 
   20   6.67  |    1.977e-2     0.18756  |    3.664e-3     0.02572  | 
   21   7.00  |    1.993e-2     0.19280  |    3.799e-3     0.02952  | 
   22   7.33  |    2.009e-2     0.19805  |    3.935e-3     0.03346  | 
   23   7.67  |    2.025e-2     0.20330  |    4.074e-3     0.03753  | 
   24   8.00  |    2.041e-2     0.20857  |    4.215e-3     0.04175  | 
   25   8.33  |    2.058e-2     0.21384  |    4.358e-3     0.04610  | 
   26   8.67  |    2.075e-2     0.21912  |    4.503e-3     0.05061  | 
   27   9.00  |    2.091e-2     0.22441  |    4.651e-3     0.05526  | 
   28   9.33  |    2.108e-2     0.22971  |    4.801e-3     0.06006  | 
   29   9.67  |    2.125e-2     0.23501  |    4.953e-3     0.06501  | 
   30  10.00  |    2.142e-2     0.24032  |    5.107e-3     0.07012  | 
   31  10.33  |    2.160e-2     0.24564  |    5.264e-3     0.07538  | 
   32  10.67  |    2.592e-2     0.25097  |    6.471e-3     0.08185  | 
   33  11.00  |    3.083e-2     0.48018  |    1.477e-2     0.09662  | 
   34  11.33  |    3.107e-2     0.48597  |    1.507e-2     0.11169  | 
   35  11.67  |    3.132e-2     0.49176  |    1.537e-2     0.12706  | 
   36  12.00  |    3.156e-2     0.49756  |    1.567e-2     0.14273  | 
   37  12.33  |    3.181e-2     0.50335  |    1.598e-2     0.15871  | 
   38  12.67  |    3.206e-2     0.50914  |    1.629e-2     0.17500  | 
   39  13.00  |    3.231e-2     0.51494  |    1.661e-2     0.19161  | 
   40  13.33  |    3.256e-2     0.52073  |    1.693e-2     0.20854  | 
   41  13.67  |    3.282e-2     0.52652  |    1.725e-2     0.22579  | 
   42  14.00  |    3.307e-2     0.53231  |    1.757e-2     0.24336  | 
   43  14.33  |    3.333e-2     0.53810  |    1.790e-2     0.26127  | 
   44  14.67  |    3.359e-2     0.54389  |    1.824e-2     0.27950  | 
   45  15.00  |    3.385e-2     0.54968  |    1.858e-2     0.29808  | 
   46  15.33  |    3.411e-2     0.55546  |    1.892e-2     0.31700  | 
   47  15.67  |    3.437e-2     0.56124  |    1.926e-2     0.33626  | 
   48  16.00  |    3.464e-2     0.56702  |    1.961e-2     0.35587  | 
   49  16.33  |    3.491e-2     0.57280  |    1.997e-2     0.37584  | 
   50  16.67  |    3.517e-2     0.57857  |    2.032e-2     0.39616  | 
   51  17.00  |    3.544e-2     0.58434  |    2.068e-2     0.41685  | 
   52  17.33  |    3.572e-2     0.59011  |    2.105e-2     0.43789  | 
   53  17.67  |    3.599e-2     0.59587  |    2.142e-2     0.45931  | 
   54  18.00  |    3.626e-2     0.60163  |    2.179e-2     0.48110  | 
   55  18.33  |    3.654e-2     0.60735  |    2.217e-2     0.50327  | 
   56  18.67  |    3.682e-2     0.61307  |    2.254e-2     0.52581  | 
   57  19.00  |    3.710e-2     0.61877  |    2.293e-2     0.54874  | 
   58  19.33  |    3.738e-2     0.62447  |    2.332e-2     0.57206  | 
   59  19.67  |    3.766e-2     0.63017  |    2.371e-2     0.59576  | 
   60  20.00  |    3.794e-2     0.63586  |    2.410e-2     0.61986  | 
   61  20.33  |    3.823e-2     0.64154  |    2.450e-2     0.64436  | 
   62  20.67  |    3.852e-2     0.64721  |    2.490e-2     0.66927  | 
   63  21.00  |    3.881e-2     0.65288  |    2.531e-2     0.69458  | 
   64  21.33  |    3.910e-2     0.65854  |    2.572e-2     0.72031  | 
   65  21.67  |    3.939e-2     0.66419  |    2.614e-2     0.74644  | 
   66  22.00  |    3.969e-2     0.66983  |    2.656e-2     0.77300  | 
   67  22.33  |    3.998e-2     0.67547  |    2.698e-2     0.79999  | 
   68  22.67  |    4.028e-2     0.68109  |    2.741e-2     0.82740  | 
