######## node nn/throw-audit/park-monotone.js 1 0 -1 1 0.1 200
box +-0.1u, +-0.248 deg, 200 poses, arm (0,-1), foot 1, 138 substeps, rim 67.167
centre thrown at substep 84

MONOTONE IN THE SUBSTEP: yes, for every pose over the whole sweep
first push over the box: substep 10; every pose thrown by substep 85

  k    deg    gain: min       max      |  radius: min      max     spread  |  regimes  thrown
   10   3.33   0.000000  0.005803  |   63.835   64.207   0.1732  |    2      0/200
   11   3.67   0.000000  0.007493  |   63.835   64.207   0.1732  |    2      0/200
   12   4.00   0.000000  0.007920  |   63.838   64.207   0.1737  |    2      0/200
   13   4.33   0.000000  0.008227  |   63.847   64.213   0.1736  |    2      0/200
   14   4.67   0.000000  0.008540  |   63.855   64.221   0.1735  |    2      0/200
   15   5.00   0.003019  0.008857  |   63.864   64.230   0.1735  |    1      0/200
   16   5.33   0.008755  0.009176  |   63.873   64.239   0.1734  |    1      0/200
   17   5.67   0.009072  0.009499  |   63.882   64.248   0.1734  |    1      0/200
   18   6.00   0.009392  0.009826  |   63.892   64.257   0.1733  |    1      0/200
   19   6.33   0.009716  0.010156  |   63.902   64.267   0.1732  |    1      0/200
   20   6.67   0.010043  0.010490  |   63.912   64.277   0.1732  |    1      0/200
   21   7.00   0.010373  0.010827  |   63.923   64.288   0.1731  |    1      0/200
   22   7.33   0.010708  0.011168  |   63.934   64.298   0.1730  |    1      0/200
   23   7.67   0.011045  0.011512  |   63.946   64.310   0.1730  |    1      0/200
   24   8.00   0.011387  0.011860  |   63.957   64.321   0.1729  |    1      0/200
   25   8.33   0.011731  0.012212  |   63.970   64.333   0.1728  |    1      0/200
   26   8.67   0.012080  0.012567  |   63.982   64.345   0.1728  |    1      0/200
   27   9.00   0.012432  0.012926  |   63.995   64.358   0.1727  |    1      0/200
   28   9.33   0.012787  0.013289  |   64.008   64.370   0.1727  |    1      0/200
   29   9.67   0.013147  0.015834  |   64.024   64.384   0.1726  |    1      0/200
   30  10.00   0.013510  0.032601  |   64.056   64.397   0.1725  |    1      0/200
   31  10.33   0.013876  0.033357  |   64.090   64.411   0.1725  |    1      0/200
   32  10.67   0.014247  0.033918  |   64.123   64.426   0.1619  |    1      0/200
   33  11.00   0.014663  0.034490  |   64.158   64.440   0.1621  |    1      0/200
   34  11.33   0.017598  0.035066  |   64.193   64.458   0.1624  |    1      0/200
   35  11.67   0.034823  0.035647  |   64.228   64.493   0.1627  |    1      0/200
   36  12.00   0.035400  0.036232  |   64.264   64.529   0.1629  |    1      0/200
   37  12.33   0.035982  0.036822  |   64.301   64.565   0.1632  |    1      0/200
   38  12.67   0.036568  0.037415  |   64.338   64.602   0.1635  |    1      0/200
   39  13.00   0.037158  0.038014  |   64.376   64.639   0.1638  |    1      0/200
   40  13.33   0.037752  0.038616  |   64.414   64.677   0.1640  |    1      0/200
   41  13.67   0.038351  0.039223  |   64.453   64.715   0.1643  |    1      0/200
   42  14.00   0.038954  0.039834  |   64.493   64.754   0.1646  |    1      0/200
   43  14.33   0.039561  0.040449  |   64.533   64.794   0.1649  |    1      0/200
   44  14.67   0.040173  0.041068  |   64.574   64.835   0.1652  |    1      0/200
   45  15.00   0.040789  0.041692  |   64.615   64.876   0.1655  |    1      0/200
   46  15.33   0.041409  0.042320  |   64.658   64.917   0.1658  |    1      0/200
   47  15.67   0.042033  0.042952  |   64.700   64.959   0.1660  |    1      0/200
   48  16.00   0.042661  0.043588  |   64.744   65.002   0.1663  |    1      0/200
   49  16.33   0.043294  0.044229  |   64.788   65.046   0.1666  |    1      0/200
   50  16.67   0.043931  0.044873  |   64.832   65.090   0.1669  |    1      0/200
   51  17.00   0.044571  0.045522  |   64.878   65.135   0.1672  |    1      0/200
   52  17.33   0.045216  0.046175  |   64.924   65.180   0.1675  |    1      0/200
   53  17.67   0.045865  0.046832  |   64.970   65.226   0.1679  |    1      0/200
   54  18.00   0.046519  0.047493  |   65.018   65.273   0.1682  |    1      0/200
   55  18.33   0.047176  0.048158  |   65.066   65.320   0.1685  |    1      0/200
   56  18.67   0.047837  0.048827  |   65.114   65.368   0.1688  |    1      0/200
   57  19.00   0.048502  0.049500  |   65.164   65.417   0.1691  |    1      0/200
   58  19.33   0.049171  0.050177  |   65.214   65.466   0.1694  |    1      0/200
   59  19.67   0.049845  0.050858  |   65.264   65.516   0.1697  |    1      0/200
   60  20.00   0.050522  0.051543  |   65.316   65.567   0.1701  |    1      0/200
   61  20.33   0.051203  0.052232  |   65.368   65.618   0.1704  |    1      0/200
   62  20.67   0.051888  0.052924  |   65.420   65.670   0.1707  |    1      0/200
   63  21.00   0.052576  0.053621  |   65.474   65.723   0.1710  |    1      0/200
   64  21.33   0.053269  0.054321  |   65.528   65.777   0.1714  |    1      0/200
   65  21.67   0.053965  0.055025  |   65.583   65.831   0.1717  |    1      0/200
   66  22.00   0.054665  0.055733  |   65.638   65.886   0.1720  |    1      0/200
   67  22.33   0.055369  0.056445  |   65.694   65.941   0.1724  |    1      0/200
   68  22.67   0.056077  0.057160  |   65.751   65.997   0.1727  |    1      0/200
   69  23.00   0.056788  0.057879  |   65.809   66.054   0.1731  |    1      0/200
   70  23.33   0.057503  0.058601  |   65.868   66.112   0.1734  |    1      0/200
   71  23.67   0.058222  0.086772  |   65.954   66.170   0.1737  |    1      0/200
   72  24.00   0.058944  0.087980  |   66.042   66.230   0.1741  |    1      0/200
   73  24.33   0.059669  0.088670  |   66.130   66.289   0.1745  |    1      0/200
   74  24.67   0.060467  0.089239  |   66.219   66.350   0.1749  |    1      0/200
   75  25.00   0.082379  0.089628  |   66.307   66.433   0.1753  |    1      0/200
   76  25.33   0.089090  0.089986  |   66.396   66.523   0.1758  |    1      0/200
   77  25.67   0.089409  0.090301  |   66.486   66.613   0.1762  |    1      0/200
   78  26.00   0.089718  0.090640  |   66.576   66.703   0.1766  |    1      0/200
   79  26.33   0.090016  0.090971  |   66.666   66.794   0.1771  |    1      0/200
   80  26.67   0.090303  0.091299  |   66.756   66.886   0.1775  |    1      0/200
